Desired acceleration,Required Torque Nm,Required Torque Fit (Nm)
0.1,3.392592618,3.3925926180316486
0.15,4.225501017,4.2255010169805285
0.2,5.058409416,5.058409415929409
0.25,5.891317815,5.891317814878289
0.3,6.724226214,6.724226213827169
0.35,7.557134613,7.557134612776049
0.4,8.390043012,8.39004301172493
0.45,9.222951411,9.222951410673812
0.5,10.05585981,10.05585980962269
0.55,10.88876821,10.888768208571571
0.6,11.72167661,11.72167660752045
0.65,12.55458501,12.554585006469331
0.7,13.38749341,13.38749340541821
0.75,14.2204018,14.220401804367093
0.8,15.0533102,15.053310203315974
0.85,15.8862186,15.886218602264853
0.9,16.719127,16.719127001213735
0.95,17.5520354,17.552035400162612
1.0,18.3849438,18.384943799111493
1.05,19.2178522,19.217852198060374
1.1,20.0507606,20.050760597009255
1.15,20.883669,20.883668995958132
1.2,21.71657739,21.716577394907013
1.25,22.54948579,22.549485793855894
1.3,23.38239419,23.382394192804774
1.35,24.21530259,24.215302591753655
1.4,25.04821099,25.048210990702533
1.45,25.88111939,25.881119389651413
1.5,26.71402779,26.714027788600298
1.55,27.54693619,27.54693618754918
1.6,28.37984459,28.37984458649806
1.65,29.21275299,29.212752985446937
1.7,30.04566138,30.045661384395817
1.75,30.87856978,30.878569783344698
1.8,31.71147818,31.71147818229358
1.85,32.54438658,32.54438658124246
1.9,33.37729498,33.37729498019134
1.95,34.21020338,34.21020337914022
2.0,35.04311178,35.0431117780891
2.05,35.87602018,35.87602017703798
2.1,36.70892858,36.70892857598686
2.15,37.54183697,37.54183697493574
2.2,38.37474537,38.37474537388462
2.25,39.20765377,39.2076537728335
2.3,40.04056217,40.040562171782376
2.35,40.87347057,40.873470570731264
2.4,41.70637897,41.70637896968014
2.45,42.53928737,42.539287368629026
2.5,43.37219577,43.3721957675779
2.55,44.20510417,44.20510416652678
2.6,45.03801257,45.03801256547566
2.65,45.87092096,45.87092096442454
2.7,46.70382936,46.70382936337342
2.75,47.53673776,47.5367377623223
2.8,48.36964616,48.36964616127118
2.85,49.20255456,49.202554560220065
2.9,50.03546296,50.03546295916894
2.95,50.86837136,50.86837135811783
3.0,51.70127976,51.70127975706671
3.05,52.53418816,52.53418815601558
3.1,53.36709655,53.36709655496447
3.15,54.20000495,54.20000495391334
3.2,55.03291335,55.03291335286223
3.25,55.86582175,55.865821751811104
3.3,56.69873015,56.698730150759985
3.35,57.53163855,57.531638549708866
3.4,58.36454695,58.36454694865775
3.45,59.19745535,59.19745534760663
3.5,60.03036375,60.03036374655551
3.55,60.86327215,60.86327214550438
3.6,61.69618054,61.69618054445327
3.65,62.52908894,62.529088943402144
3.7,63.36199734,63.36199734235103
3.75,64.19490574,64.1949057412999
3.8,65.02781414,65.02781414024878
3.85,65.86072254,65.86072253919767
3.9,66.69363094,66.69363093814655
3.95,67.52653934,67.52653933709544
4.0,68.35944774,68.3594477360443
